GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab07,earthquakes.controllers,UsersController,17,0,0,0,6,0,2,0,2,0
lab07,earthquakes.geojson,Properties,3,0,0,0,1,0,1,0,1,0
lab07,earthquakes.geojson,Metadata,3,0,0,0,1,0,1,0,1,0
lab07,earthquakes.geojson,Feature,3,0,0,0,1,0,1,0,1,0
lab07,earthquakes.geojson,FeatureCollection,38,0,0,0,12,0,3,0,3,0
lab07,earthquakes,EqSearch,8,9,0,0,4,3,2,3,2,3
lab07,earthquakes,MembershipService,30,0,10,0,8,0,7,0,2,0
lab07,earthquakes,GithubOrgMembershipService,200,0,10,0,44,0,9,0,4,0
lab07,earthquakes,AuthControllerAdvice,77,0,8,0,17,0,12,0,8,0
lab07,earthquakes,Application,5,53,0,0,2,17,1,2,1,2
lab07,earthquakes,EarthquakeQueryService,106,0,0,0,24,0,2,0,2,0
lab07,earthquakes,WebController,63,7,0,0,15,3,5,3,5,3
lab07,earthquakes.entities,AppUser,26,0,0,0,7,0,7,0,7,0
